idea_id,idea_title,idea_text,domain,funding_st_required,f_team_size,location,technology,risk_level
80,Personalized Learning Platform,An adaptive learning platform that personalizes educational content based on student performance and learning pace.,EdTech,1791781,4,Australia,IoT,Medium
81,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,3004681,25,India,Blockchain,Low
82,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,4152987,8,Australia,Cloud,Medium
83,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,928500,20,Singapore,Data Analytics,Medium
84,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,1498887,17,Germany,AI,High
85,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,4028235,8,Japan,Blockchain,Low
86,Online Skill Assessment Tool,A web-based assessment platform to evaluate technical and soft skills for students and professionals.,EdTech,1048114,12,India,Blockchain,Medium
87,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,2347904,15,Canada,AI,Medium
88,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,3815906,24,Singapore,Cloud,Medium
89,AI Fraud Detection System,A real-time fraud detection system for banks using AI to monitor and flag suspicious transactions.,FinTech,1652967,20,Germany,IoT,Very High
90,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,3914800,18,France,Data Analytics,High
91,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,3133057,19,Australia,Cloud,Medium
92,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,4252261,19,Australia,Blockchain,Medium
93,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,2959538,16,UAE,Blockchain,Very High
94,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,2852632,11,Australia,AI,Medium
95,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,4810877,20,USA,AI,Medium
96,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,616985,15,Australia,AI,Very High
97,Personalized Learning Platform,An adaptive learning platform that personalizes educational content based on student performance and learning pace.,EdTech,3273630,21,USA,Cloud,Low
98,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,1116653,12,Australia,Cloud,High
99,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,2266045,8,UAE,IoT,Medium
100,SaaS Innovation Platform,A technology-driven solution focused on solving key challenges in the saas sector through scalable digital platforms.,SaaS,1473603,16,India,Blockchain,Very High
101,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,2139271,5,Canada,Data Analytics,Medium
102,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,2812237,5,Singapore,Data Analytics,High
103,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,2907703,21,France,AI,Very High
104,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,56810,19,UAE,ML,Low
105,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,1929450,15,UK,Blockchain,Low
106,AI-Powered Hiring Platform,"An AI-based recruitment platform that screens resumes, evaluates candidate skills, and predicts job fit using machine learning.",Artificial Intelligence,2047132,22,India,IoT,Medium
107,Online Skill Assessment Tool,A web-based assessment platform to evaluate technical and soft skills for students and professionals.,EdTech,917685,13,Australia,IoT,Low
108,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,896006,8,France,Cloud,High
109,Personalized Learning Platform,An adaptive learning platform that personalizes educational content based on student performance and learning pace.,EdTech,1196622,14,India,Cloud,Low
110,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,1655898,3,Canada,Blockchain,Very High
111,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,3386477,14,Germany,ML,Low
112,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,1196337,9,USA,ML,High
113,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,3647465,13,Australia,Blockchain,High
114,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,1825699,15,France,IoT,Medium
115,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,3468074,19,France,ML,Very High
116,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,4349562,19,Canada,Cloud,Very High
117,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,4771643,14,Singapore,Cloud,Low
118,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,4874707,15,Germany,Cloud,Very High
119,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,2215260,15,India,Cloud,Very High
120,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,4269455,17,UAE,AI,High
121,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,1601211,3,India,ML,Low
122,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,3559997,20,Singapore,IoT,High
123,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,882774,25,UAE,AI,Medium
124,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,2381358,18,India,Data Analytics,Low
125,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,2167383,12,France,AI,High
126,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,2686596,22,UK,ML,Very High
127,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,3515986,14,UK,ML,Medium
128,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,4714949,20,Canada,Data Analytics,Very High
129,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,3480202,15,Canada,IoT,Low
130,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,2581007,9,USA,IoT,Very High
131,E-commerce Innovation Platform,A technology-driven solution focused on solving key challenges in the e-commerce sector through scalable digital platforms.,E-commerce,3596074,3,Germany,Data Analytics,Medium
132,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,1232813,20,Singapore,Blockchain,High
133,SaaS Innovation Platform,A technology-driven solution focused on solving key challenges in the saas sector through scalable digital platforms.,SaaS,3112441,7,UK,IoT,Very High
134,Smart Cities Innovation Platform,A technology-driven solution focused on solving key challenges in the smart cities sector through scalable digital platforms.,Smart Cities,482223,12,Germany,Cloud,Medium
135,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,171876,17,Australia,Blockchain,High
136,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,2016892,23,UAE,AI,Medium
137,SaaS Innovation Platform,A technology-driven solution focused on solving key challenges in the saas sector through scalable digital platforms.,SaaS,3330770,20,Australia,Data Analytics,Low
138,E-commerce Innovation Platform,A technology-driven solution focused on solving key challenges in the e-commerce sector through scalable digital platforms.,E-commerce,337509,4,UK,Cloud,Low
139,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,3610139,20,Singapore,ML,High
140,AI Medical Diagnosis Tool,An AI-driven diagnostic tool that assists doctors by analyzing medical images and patient data.,HealthTech,1776174,24,UAE,AI,High
141,Smart Crop Monitoring System,"An IoT-enabled system that monitors soil health, crop growth, and weather conditions to improve farm productivity.",AgriTech,1788288,24,Australia,AI,Very High
142,Online Skill Assessment Tool,A web-based assessment platform to evaluate technical and soft skills for students and professionals.,EdTech,2786066,19,Canada,AI,Low
143,Smart Crop Monitoring System,"An IoT-enabled system that monitors soil health, crop growth, and weather conditions to improve farm productivity.",AgriTech,1919022,12,Australia,AI,High
144,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,75045,17,Canada,ML,Very High
145,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,2338775,8,UK,Data Analytics,High
146,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,98758,23,Australia,Cloud,Medium
147,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,3333788,5,USA,IoT,Medium
148,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,2581503,6,Canada,Data Analytics,Very High
149,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,4910945,7,Japan,Data Analytics,Very High
150,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,502493,5,France,ML,Low
151,Blockchain Innovation Platform,A technology-driven solution focused on solving key challenges in the blockchain sector through scalable digital platforms.,Blockchain,466074,17,Australia,Data Analytics,Very High
152,AI Fraud Detection System,A real-time fraud detection system for banks using AI to monitor and flag suspicious transactions.,FinTech,2354143,12,Japan,ML,Very High
153,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,237045,24,USA,IoT,Medium
154,E-commerce Innovation Platform,A technology-driven solution focused on solving key challenges in the e-commerce sector through scalable digital platforms.,E-commerce,2476286,13,France,IoT,Low
155,SaaS Innovation Platform,A technology-driven solution focused on solving key challenges in the saas sector through scalable digital platforms.,SaaS,4503672,23,France,ML,High
156,AI-Powered Hiring Platform,"An AI-based recruitment platform that screens resumes, evaluates candidate skills, and predicts job fit using machine learning.",Artificial Intelligence,1109024,12,USA,Data Analytics,Very High
157,Predictive Maintenance System,A machine learning system that predicts equipment failures in industries using sensor data and historical maintenance records.,Artificial Intelligence,1616080,4,India,AI,Very High
158,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,2492913,20,UAE,ML,High
159,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,2133471,24,UAE,AI,Very High
160,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,2451021,13,Australia,AI,High
161,Remote Patient Monitoring System,A healthcare platform that remotely monitors patient vitals using wearable devices and alerts doctors in real time.,HealthTech,330287,6,Singapore,Blockchain,Low
162,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,1435171,16,India,ML,Medium
163,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,2178064,25,Canada,ML,Low
164,E-commerce Innovation Platform,A technology-driven solution focused on solving key challenges in the e-commerce sector through scalable digital platforms.,E-commerce,3274549,19,Japan,ML,Medium
165,E-commerce Innovation Platform,A technology-driven solution focused on solving key challenges in the e-commerce sector through scalable digital platforms.,E-commerce,3259866,15,Japan,ML,Low
166,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,627217,16,Canada,Blockchain,Medium
167,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,173296,21,Australia,Data Analytics,Low
168,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,826280,12,UK,Data Analytics,High
169,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,2602738,4,UAE,AI,Low
170,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,2686702,9,France,IoT,Medium
171,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,2993100,5,UAE,Data Analytics,Very High
172,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,4707318,17,USA,ML,Low
173,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,1803025,8,Singapore,Blockchain,High
174,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,4439814,13,UK,IoT,Very High
175,Biotechnology Innovation Platform,A technology-driven solution focused on solving key challenges in the biotechnology sector through scalable digital platforms.,Biotechnology,2828134,11,Canada,Blockchain,High
176,Logistics Innovation Platform,A technology-driven solution focused on solving key challenges in the logistics sector through scalable digital platforms.,Logistics,2061144,19,Japan,IoT,Low
177,Digital Lending Platform,A fintech platform providing instant loans using alternative credit scoring models based on transaction and behavioral data.,FinTech,66308,15,UK,ML,High
178,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,4772301,5,Canada,ML,High
179,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,3978123,4,Canada,Data Analytics,Very High
180,FoodTech Innovation Platform,A technology-driven solution focused on solving key challenges in the foodtech sector through scalable digital platforms.,FoodTech,503655,6,France,Data Analytics,Low
181,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,4426329,18,Canada,Blockchain,Very High
182,SaaS Innovation Platform,A technology-driven solution focused on solving key challenges in the saas sector through scalable digital platforms.,SaaS,277750,13,Germany,AI,Very High
183,AI Yield Prediction Tool,A predictive analytics tool that forecasts crop yield using satellite imagery and climate data.,AgriTech,3679137,14,France,IoT,Very High
184,Smart Crop Monitoring System,"An IoT-enabled system that monitors soil health, crop growth, and weather conditions to improve farm productivity.",AgriTech,365059,4,UAE,Cloud,High
185,Cybersecurity Innovation Platform,A technology-driven solution focused on solving key challenges in the cybersecurity sector through scalable digital platforms.,Cybersecurity,1365444,24,France,IoT,Very High
186,Clean Energy Innovation Platform,A technology-driven solution focused on solving key challenges in the clean energy sector through scalable digital platforms.,Clean Energy,235402,15,Canada,Cloud,High
187,IoT Innovation Platform,A technology-driven solution focused on solving key challenges in the iot sector through scalable digital platforms.,IoT,2174412,11,Singapore,ML,Low
